ID,상호명,주소,전화,웹사이트,이메일,업종,상태,등록일,최종발송일
81,(주)종합건축사사무소 시건축,대한민국 서울특별시 종로구 창덕궁길 130,02-597-9705,http://www.seearch.co.kr/,seearchitect.see@gmail.com,종합건설 설계팀,new,2026-05-24 11:29:48,
82,서래종합건설,대한민국 서울특별시 관악구 봉천동 남부순환로 1724 경원빌딩 8층,02-3476-4546,http://www.seoraecon.com/,seoraecon@seoraecon.com,종합건설 설계팀,new,2026-05-24 11:29:48,
83,금영종합건설(주),대한민국 시흥시,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
84,현대건설,대한민국 서울특별시 종로구 율곡로 75,02-746-1114,http://www.hdec.kr/,,종합건설 설계팀,new,2026-05-24 11:29:48,
85,서울종합건설(주),대한민국 시흥시,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
86,새찬종합건설,대한민국 서울특별시 중랑구 중랑역로 62 6F 새찬종합건설,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
87,(주)한국종합건축사사무소,대한민국 서울특별시 강남구 역삼동 736-49,02-2187-2345,https://www.han-guk.co.kr/,recruit@han-guk.co.kr,종합건설 설계팀,new,2026-05-24 11:29:48,
88,(주)우석종합건설,대한민국 서울특별시 광진구 자양동 580-5,02-457-3000,,,종합건설 설계팀,new,2026-05-24 11:29:48,
89,제로투엔건축사사무소종합건설(주),대한민국 서울특별시 강남구 논현동 205-5 7층 분데스 언주,1661-0454,http://www.zero-to-n.com/,info@zero-to-n.com,종합건설 설계팀,new,2026-05-24 11:29:48,
90,신한종합건설,대한민국 서울특별시 서대문구 충정로3가 충정로7길 15,02-3703-0300,,,종합건설 설계팀,new,2026-05-24 11:29:48,
91,(주)서울건축종합건축사사무소,대한민국 서울특별시 마포구 성산동 114-9,02-3140-6900,http://www.sacarch.co.kr/,,건축 설계 사무소,new,2026-05-24 11:29:48,
92,서울종합건축설계사무소,대한민국 시흥시,,,,건축 설계 사무소,new,2026-05-24 11:29:48,
93,건축사 사무소,대한민국 서울특별시 용산구 이태원동 36-18 2층,02-749-2878,http://www.onlyj.co.kr/,abcd739@hanmail.net,건축 설계 사무소,new,2026-05-24 11:29:48,
94,간삼건축종합건축사사무소,대한민국 서울특별시 중구 신당동 407-27,02-2250-6001,http://www.gansam.com/,business@gansam.com,건축 설계 사무소,new,2026-05-24 11:29:48,
95,(주)산다건축사사무소,대한민국 서울특별시 금천구 독산동 1009-34,02-807-7382,,,건축 설계 사무소,new,2026-05-24 11:29:48,
96,(주)MAI건축사사무소,"대한민국 서울특별시 성동구 성수이로 4, 210",02-540-0707,http://www.maiarc.com/,maiarc@naver.com,건축 설계 사무소,new,2026-05-24 11:29:48,
97,해안종합건축사무소,대한민국 서울특별시 강남구 역삼동 650-3,02-3438-8000,http://www.haeahn.com/,,건축 설계 사무소,new,2026-05-24 11:29:48,
98,(주)공간종합건축사사무소,대한민국 서울특별시 중구 필동 퇴계로36가길 104,02-763-0771,http://www.spacea.com/,,건축 설계 사무소,new,2026-05-24 11:29:48,
99,(주)한인종합건축사사무소,대한민국 서울특별시 영등포구 양평동5가 106-1 선유도 코오롱디지털타워 607호,02-2113-7800,,,건축 설계 사무소,new,2026-05-24 11:29:48,
100,소수 건축사사무소,대한민국 서울특별시 성동구 아차산로1길 9 2층,02-461-2357,http://sosu2357.com/,235711sosu@gmail.com,건축 설계 사무소,new,2026-05-24 11:29:48,
101,바우건축사사무소,대한민국 서울특별시 마포구 서강동 토정로 104-10,02-574-7011,http://www.bauarchitects.com/,info@bauarchitects.com,건축 설계 사무소,new,2026-05-24 11:29:48,
102,(주)종합건축사사무소 동일건축,대한민국 서울특별시 강남구 논현동 91-10,02-2106-4300,https://dongil82.co.kr/,,건축 설계 사무소,new,2026-05-24 11:29:48,
103,(주)경영위치건축사사무소,대한민국 서울특별시 용산구 후암동 254-98,02-592-4128,http://www.kywc.com/,kywc@kywc.com,건축 설계 사무소,new,2026-05-24 11:29:48,
104,(주)더건축종합건축사사무소,대한민국 서울특별시 서초구 Yangjae 1(il)-dong 양재천로 129 2층,02-574-0107,http://www.thearch.co.kr/,thearch@thearch.co.kr,건축 설계 사무소,new,2026-05-24 11:29:48,
105,서울특별시건축사회,대한민국 서울특별시 서초구 서초동 효령로 317,,http://www.sira.or.kr/,,건축 설계 사무소,new,2026-05-24 11:29:48,
106,HK건축사사무소(HK Architects & Associates),대한민국 경기도 과천시 과천대로 7나길 9,02-591-0071,http://www.hkarchit.com/,admin@hwarchi.com,건축 설계 사무소,new,2026-05-24 11:29:48,
107,종합건설리하(주),대한민국 서울특별시 구로구 개봉동 314 158번지,02-2613-7004,,,종합건설회사,new,2026-05-24 11:29:48,
108,금강종합건설 서울사무소,대한민국 서울특별시 광진구 아차산로 187 동신빌딩,02-3409-0501,http://www.kumgangapt.co.kr/,,종합건설회사,new,2026-05-24 11:29:48,
109,우송종합건설(주),대한민국 서울특별시 서초구 서초동 1363 3층,02-598-4271,,,종합건설회사,new,2026-05-24 11:29:48,
110,중구종합건설(주),대한민국 서울특별시 중구 황학동 981,02-2231-8731,,,종합건설회사,new,2026-05-24 11:29:48,
111,(주)중앙종합건설,대한민국 서울특별시,02-2698-2226,,,종합건설회사,new,2026-05-24 11:29:48,
112,천하종합건설,대한민국 서울특별시 영등포구 여의대방로 379,02-709-0044,,,종합건설회사,new,2026-05-24 11:29:48,
113,주건종합건설(주),대한민국 서울특별시 강서구 염창동 283-11,02-3665-0431,,,종합건설회사,new,2026-05-24 11:29:48,
114,(주)수진종합건설,대한민국 서울특별시 강서구 방화동 564-85,,,,종합건설회사,new,2026-05-24 11:29:48,
115,유에이치앤씨 종합건설,대한민국 서울특별시 중구 신당동 동호로15길 64,02-2256-6638,http://uhnc.imweb.me/,,종합건설회사,new,2026-05-24 11:29:48,
116,청성종합건설(주),대한민국 서울특별시 강서구 공항동 61-181,02-2664-5600,,,종합건설회사,new,2026-05-24 11:29:48,
117,남성종합건설(주),대한민국 서울특별시 금천구 독산동 293-1,02-802-0983,,,종합건설회사,new,2026-05-24 11:29:48,
118,한글종합건설,대한민국 서울특별시 강서구 등촌제1동 628-13,02-2658-0101,,,종합건설회사,new,2026-05-24 11:29:48,
119,서해종합건설,대한민국 서울특별시 마포구 도화동 566,02-761-1234,http://www.seohai.co.kr/,development@seohai.co.kr,종합건설회사,new,2026-05-24 11:29:48,
120,(주)한건종합건설,대한민국 서울특별시 서대문구 창천동 496,02-333-2102,,,종합건설회사,new,2026-05-24 11:29:48,
121,승윤종합건설(주),대한민국 서울특별시,02-2608-0414,,,종합건설회사,new,2026-05-24 11:29:48,
122,구미동근린생활시설,대한민국 성남시 분당구 구미동 274-2번지 성남시 경기도 KR,,,,기계설비 설계 사무소,new,2026-05-24 11:29:48,
123,산수기계설비(주),대한민국 경기도 성남시 분당구 구미동 35-10,031-713-5746,,,기계설비 전문건설,new,2026-05-24 11:29:48,
124,법운건설기계(주),대한민국 성남시 수정구 고등동 435-3번지 성남시 경기도 KR,031-755-8900,,,기계설비 전문건설,new,2026-05-24 11:29:48,
